question,answer,topic,difficulty
Apa singkatan dari IP Address?,Internet Protocol Address.,Jaringan Komputer,easy
Siapakah presiden kedua Republik Indonesia?,Jenderal Besar TNI (Purn.) H. M. Soeharto.,Sejarah,easy
Apa fungsi utama dari akar pada tumbuhan?,Menyerap air dan unsur hara dari dalam tanah serta menopang tegaknya tumbuhan.,Biologi,easy
Berapa jumlah hari dalam satu tahun kabisat?,366 hari.,Geografi,easy
Apa nama mata uang negara Malaysia?,Ringgit.,Geografi,easy
Siapakah pencipta lagu kebangsaan Indonesia Raya?,Wage Rudolf Soepratman.,Sejarah,easy
Apa fungsi utama dari keyboard komputer?,"Alat input untuk mengetik huruf, angka, dan perintah ke dalam sistem komputer.",Ilmu Komputer,easy
Jelaskan perbedaan antara ikatan ionik dan ikatan kovalen.,"Ikatan ionik terjadi karena serah terima elektron, sedangkan ikatan kovalen terjadi karena penggunaan bersama pasangan elektron.",Kimia,medium
Bagaimana proses fotosintesis menghasilkan oksigen pada tumbuhan?,Melalui fotolisis air pada reaksi terang di mana energi cahaya memecah molekul air menjadi hidrogen dan oksigen bebas.,Biologi,medium
Jelaskan konsep dasar hukum kekekalan massa dalam kimia.,Massa zat sebelum reaksi kimia selalu sama dengan massa zat sesudah reaksi kimia.,Kimia,medium
Bagaimana cara kerja termometer dalam mengukur suhu benda?,Menggunakan prinsip pemuaian zat cair di dalam tabung kaca ketika menyerap panas dari benda yang diukur.,Fisika,medium
Jelaskan bagaimana lempeng tektonik bergerak dan menyebabkan gempa bumi.,Arus konveksi magma menggerakkan lempeng; gesekan di perbatasan lempeng menumpuk energi yang tiba-tiba terlepas.,Geografi,medium
Bagaimana perbedaan antara cuaca dan iklim di bumi?,Cuaca adalah kondisi atmosfer harian di wilayah sempit; iklim adalah rata-rata cuaca jangka panjang di wilayah luas.,Geografi,medium
Jelaskan dampak pemanasan global terhadap kenaikan permukaan air laut.,"Suhu hangat mencairkan gletser kutub dan memicu pemuaian termal air laut, menyebabkan kenaikan permukaan laut global.",Geografi,medium
Bagaimana cara kerja dinamo sepeda dalam menghasilkan listrik?,"Putaran roda memutar magnet di dekat kumparan kabel, memicu induksi elektromagnetik yang menghasilkan arus bolak-balik.",Fisika,medium
Jelaskan bagaimana algoritma pencarian linear bekerja pada array data.,Memeriksa setiap elemen data satu per satu dari awal hingga akhir sampai elemen yang dicari ditemukan.,Ilmu Komputer,medium
Jelaskan konsep dasar pemrograman berorientasi objek tentang enkapsulasi.,Membungkus data dan metode ke dalam satu unit (kelas) dan menyembunyikan detail akses variabel sensitif.,Ilmu Komputer,medium
Bagaimana cara kerja memori cache dalam mempercepat pemrosesan data?,Menyimpan salinan instruksi yang sering diakses agar CPU tidak perlu mengambilnya dari RAM yang lebih lambat.,Ilmu Komputer,medium
Jelaskan perbedaan antara data primer dan data sekunder dalam penelitian.,"Data primer diperoleh langsung dari subjek pertama (wawancara, survei), sedangkan data sekunder diperoleh dari dokumen arsip.",Sejarah,medium
Bagaimana pengaruh Revolusi Prancis terhadap sistem pemerintahan di Eropa?,"Meruntuhkan sistem monarki absolut dan menyebarkan ideologi demokrasi, nasionalisme, serta liberalisme secara masif.",Sejarah,medium
Jelaskan bagaimana gaya gesek dapat menghambat gerak suatu benda.,Gaya gesek bekerja berlawanan arah dengan arah gerak benda akibat interaksi kasar antara kedua permukaan.,Fisika,medium
Bagaimana cara menghitung luas permukaan kubus jika diketahui rusuknya?,Kalikan luas salah satu bidang sisi (s kuadrat) dengan jumlah total sisi kubus yaitu 6 (Luas = 6 * s^2).,Matematika,medium
Jelaskan perbedaan antara pembelahan mitosis dan pembelahan meiosis.,"Mitosis untuk pertumbuhan somatis (2n menghasilkan 2n), sedangkan meiosis untuk reproduksi gamet (2n menghasilkan n).",Biologi,medium
Bagaimana proses pembentukan batuan sedimen terjadi di alam?,"Melalui proses pelapukan batuan asal, transportasi oleh air/angin, pengendapan, dan litifikasi sedimentasi.",Geografi,medium
Jelaskan bagaimana sistem pernapasan manusia mengedarkan oksigen.,"Udara masuk ke alveolus, oksigen berdifusi ke pembuluh kapiler darah dan diikat oleh hemoglobin untuk disalurkan jantung.",Biologi,medium
Jelaskan perbedaan antara pasar tradisional dan pasar modern.,Pasar tradisional menggunakan sistem tawar-menawar harga; pasar modern mencantumkan harga pas dengan kenyamanan terjamin.,Geografi,medium
Bagaimana pengaruh iklim tropis terhadap keanekaragaman hayati Indonesia?,Curah hujan tinggi dan sinar matahari melimpah sepanjang tahun menciptakan ekosistem hutan hujan tropis yang kaya flora-fauna.,Biologi,medium
Rancang arsitektur jaringan komputer yang aman untuk perusahaan dengan cabang terdistribusi.,"Bangun VPN IPSec site-to-site terlindung firewall next-gen, terapkan segmentasi VLAN, serta autentikasi multi-faktor.",Jaringan Komputer,hard
Analisis dampak kebijakan moneter bank sentral terhadap tingkat inflasi negara.,"Kenaikan suku bunga menekan peredaran uang, menurunkan tingkat konsumsi masyarakat, sehingga laju kenaikan harga terkendali.",Geografi,hard
Buktikan rumus luas segitiga menggunakan trigonometri secara analitis.,"Gunakan aturan tinggi h = b * sin(C) dalam persamaan Luas = 1/2 * alas * tinggi, sehingga diperoleh Luas = 1/2 * a * b * sin(C).",Matematika,hard
Selesaikan persamaan kuadrat menggunakan metode pembagian kuadrat sempurna secara matematis.,"Pindahkan konstanta c ke ruas kanan, bagi dengan koefisien a, tambahkan kuadrat setengah dari b/a ke kedua ruas, lalu akar kuadratkan.",Matematika,hard
Analisis mekanisme transpor aktif melalui pompa natrium-kalium pada sel eukariotik.,Menggunakan energi hidrolisis ATP untuk memompa 3 ion Na+ keluar sel dan memasukkan 2 ion K+ masuk melawan gradien konsentrasi.,Biologi,hard
Buktikan hukum kekekalan momentum sudut menggunakan persamaan gerak rotasi.,"Buktikan bahwa jika torsi eksternal total yang bekerja pada sistem adalah nol, maka laju perubahan momentum sudut dL/dt = 0, sehingga L konstan.",Fisika,hard
Derifasikan rumus medan magnet di sekitar kawat lurus berarus menggunakan hukum Ampere.,"Integrasikan kuat medan magnet B mengelilingi lintasan melingkar tertutup r, lalu samakan dengan mu_0 dikali arus total (B * 2*pi*r = mu_0 * I).",Fisika,hard
Rancang sistem basis data terdistribusi yang mendukung replikasi multi-master secara real-time.,"Gunakan algoritma sinkronisasi konflik dua arah berbasis timestamp, terapkan quorum consensus, dan gunakan WAL log shipping.",Basis Data,hard
Analisis dampak runtuhnya imperium Romawi Barat terhadap kemunduran ekonomi Eropa.,"Mengakibatkan disintegrasi jalur perdagangan, hilangnya keamanan mata uang standar, dan memicu feodalisme agraria lokal.",Sejarah,hard
Buktikan bahwa jumlah sudut dalam segitiga bola selalu lebih besar dari 180 derajat.,Gunakan teorema Gauss-Bonnet pada ruang dengan kelengkungan positif di mana jumlah sudut dikurangi pi sama dengan integral kelengkungan permukaan.,Matematika,hard
Rancang sistem kecerdasan buatan berbasis deep learning untuk mendeteksi penyakit tanaman padi.,"Gunakan arsitektur ResNet50 yang dilatih dengan citra penyakit daun padi, terapkan transfer learning, dan deploy API via FastAPI.",Kecerdasan Buatan,hard
Analisis bagaimana mekanisme pertahanan tubuh manusia melawan infeksi virus SARS-CoV-2.,"Sel APC mempresentasikan antigen ke T-helper, memicu diferensiasi sel B memproduksi antibodi penetralisir spike protein.",Biologi,hard
Evaluasi dampak sosial ekonomi dari pembangunan infrastruktur jalan tol lintas Jawa.,Mempercepat waktu logistik antar kota besar namun mendegradasi perekonomian lokal UMKM di sepanjang jalur jalan arteri nontol.,Geografi,hard
Rancang algoritma enkripsi data yang aman terhadap serangan komputer kuantum.,Gunakan skema kriptografi berbasis kisi (lattice-based cryptography) seperti kerangka kerja NTRU atau algoritma Learning With Errors.,Ilmu Komputer,hard
Selesaikan persamaan diferensial parsial untuk aliran panas satu dimensi secara analitis.,"Gunakan metode pemisahan variabel u(x,t) = X(x)T(t), selesaikan persamaan diferensial biasa masing-masing, dan terapkan deret Fourier.",Matematika,hard
Analisis peran mikroba tanah dalam siklus biogeokimia nitrogen secara molekuler.,Bakteri Rhizobium mengekspresikan enzim nitrogenase untuk memecah gas N2 menjadi NH3 yang dapat diserap langsung oleh tumbuhan legum.,Biologi,hard
Derifasikan hukum ketiga Kepler tentang gerakan planet berdasarkan hukum gravitasi Newton.,"Samakan gaya gravitasi F = GMm/r^2 dengan gaya sentripetal F = m * omega^2 * r, substitusikan omega = 2*pi/T untuk membuktikan T^2 sebanding r^3.",Fisika,hard
Rancang mekanisme load balancing otomatis untuk microservices dengan lalu lintas tinggi.,Deploy ingress controller berbasis Nginx/Envoy terintegrasi metrik Prometheus untuk meregulasi beban berdasarkan utilitas CPU kontainer.,Ilmu Komputer,hard
Analisis dampak Perang Dingin terhadap penyebaran ideologi politik di Asia Tenggara.,Memicu pecahnya perang saudara proxy di Vietnam dan pembantaian simpatisan komunis di berbagai negara guna menahan teori domino.,Sejarah,hard
Buktikan rumus luas permukaan bola secara integral kalkulus.,"Integrasikan elemen cincin silindris rotasi 2 * pi * y * ds menggunakan koordinat polar dari 0 hingga pi, menghasilkan nilai 4 * pi * R^2.",Matematika,hard
